Province,District,MOH/QC/Camp,"Date of last positive
case","Cases from 4th
October 2020"
Western,Kaluthara,OAKRAY HOTEL - WADDUWA,16/04/2021,9
Western,Kaluthara,"SIDDHALEPA AYURVEDA
HOTEL",23/04/2021,5
Western,NIHS,Beruwala,31/05/2021,1712
Western,NIHS,Kalutara,31/05/2021,3682
Western,NIHS,"CINNAMON BAY
BERUWALA",29/04/2021,7
Western,NIHS,POLICE COLLEGE- KALUTARA,10/1/2021,1
Western,NIHS,EDEN HOTEL BERUWELA,4/5/2021,30
Western,NIHS,QC AVANI BENTHOTA,29/04/2021,39
Western,NIHS,QC TURYA HOTEL,30/04/2021,13
Western,NIHS,"ROYAL PALMS BEACH
HOTEL",5/5/2021,18
Western,NIHS,COCO ROYAL – KALUTARA,21/05/2021,16
Western,NIHS,HIRU VILLAS HOTEL,13/03/2021,1
Western,NIHS,ANANTARA KALUTARA,4/5/2021,6
Western,NIHS,HOTEL MERMAID- KALUTARA,19/05/2021,2
Western,NIHS,BERUWELA QC,29/03/2021,1
Western,NIHS,BARBERYN REEF HOTEL,2/4/2021,2
North Western,Kurunegala,Alawwa,30/05/2021,383
North Western,Kurunegala,Ambanpola,29/05/2021,239
North Western,Kurunegala,Bamunukotuwa,30/05/2021,152
North Western,Kurunegala,Bingiriya,30/05/2021,185
North Western,Kurunegala,Galgamuwa,30/05/2021,200
North Western,Kurunegala,Ganewatta,31/05/2021,312
North Western,Kurunegala,Giribawa,29/05/2021,50
North Western,Kurunegala,Ibbagamuwa,31/05/2021,272
North Western,Kurunegala,Katupotha-Kuliyapitiya East,29/05/2021,138
North Western,Kurunegala,Kobeigane,28/05/2021,53
North Western,Kurunegala,Kotawehera,27/05/2021,46
North Western,Kurunegala,Kuliyapitiya West,31/05/2021,1144
North Western,Kurunegala,Kurunegala,31/05/2021,1745
North Western,Kurunegala,Kurunegala MC,31/05/2021,466
North Western,Kurunegala,Maho,30/05/2021,182
North Western,Kurunegala,Mallawapitiya,28/05/2021,185
