Province,District,MOH/QC/Camp,"Date of last positive
case","Cases from 4th
October 2020"
North Central,Polonnaruwa,QC THAMANKADUWA,28/01/2021,32
North Central,Polonnaruwa,QC NIPUNA,3/2/2021,1
North Central,Polonnaruwa,QC GALKANDA,15/03/2021,3
North Central,Polonnaruwa,DAMMINNA QC,27/05/2021,22
North Central,Polonnaruwa,KANDAKADU QC,29/05/2021,184
North Central,Polonnaruwa,ACME GRAND,29/04/2021,1
Uva,Badulla,Badulla,31/05/2021,514
Uva,Badulla,Bandarawela,31/05/2021,246
Uva,Badulla,Ella,31/05/2021,160
Uva,Badulla,Girandurukotte,30/05/2021,168
Uva,Badulla,Haldummulla,30/05/2021,88
Uva,Badulla,Hali-ela,31/05/2021,157
Uva,Badulla,Haputhale,30/05/2021,273
Uva,Badulla,Kandaketiya,25/05/2021,40
Uva,Badulla,Lunugala,30/05/2021,34
Uva,Badulla,Mahiyanganaya,31/05/2021,496
Uva,Badulla,Meegahakivula,29/05/2021,10
Uva,Badulla,Passara,31/05/2021,188
Uva,Badulla,Rideemaliyadda,28/05/2021,314
Uva,Badulla,Soranathota,25/05/2021,48
Uva,Badulla,Uva-Paranagama,31/05/2021,151
Uva,Badulla,Welimada,30/05/2021,310
Uva,Badulla,Boralanda Police QC,5/12/2020,24
Uva,Badulla,QC RANTAMBE,10/3/2021,18
Uva,Badulla,UMA OYA PROJECT-(FR),24/12/2020,1
Uva,Badulla,TREATMENT CENTRE - BANDARAWELA,27/12/2020,13
Uva,Badulla,KAHAGOLLA QC,11/3/2021,9
Uva,Badulla,"COVID CENTER
DIYATHALAWA",24/05/2021,10
Uva,Badulla,QC PASSARA,14/05/2021,5
Uva,Badulla,BOGODA QC,16/05/2021,6
Uva,Moneragala,Badalkumbura,31/05/2021,150
Uva,Moneragala,Bibila,31/05/2021,143
Uva,Moneragala,Buttala,30/05/2021,224
Uva,Moneragala,Kataragama,31/05/2021,98
Uva,Moneragala,Madagama,30/05/2021,166
Uva,Moneragala,Madulla,31/05/2021,94
Uva,Moneragala,Monaragala,31/05/2021,606
Uva,Moneragala,Sevanagala,31/05/2021,165
Uva,Moneragala,Siyambalanduwa,31/05/2021,223
Uva,Moneragala,Thanamalvila,31/05/2021,65
Uva,Moneragala,Wellawaya,30/05/2021,424
Uva,Moneragala,"KATHARAGAMA
MANDARA HOTEL",26/04/2021,12
Southern,Galle,Akmeemana,31/05/2021,877
Southern,Galle,Ambalangoda,29/05/2021,251
Southern,Galle,Baddegama,31/05/2021,303
Southern,Galle,Balapitiya,31/05/2021,450
Southern,Galle,Bope-Poddala,31/05/2021,439
Southern,Galle,Elpitiya,31/05/2021,547
Southern,Galle,Galle MC,31/05/2021,874
Southern,Galle,Gonapinuwala,31/05/2021,78
Southern,Galle,Habaraduwa,31/05/2021,773
Southern,Galle,Hikkaduwa,31/05/2021,708
Southern,Galle,Imaduwa,29/05/2021,264
Southern,Galle,Induruwa,27/05/2021,1883
Southern,Galle,Karandeniya,29/05/2021,247
Southern,Galle,Neluwa,31/05/2021,131
Southern,Galle,Niyagama,29/05/2021,107
Southern,Galle,Rathgama,29/05/2021,350
Southern,Galle,Thawalama,28/05/2021,109
Southern,Galle,Udugama,31/05/2021,221
Southern,Galle,Welivitiya - Divithura,31/05/2021,49
Southern,Galle,Yakkalamulla,28/05/2021,126
Southern,Galle,Fairway sunset QC,11/5/2021,24
Southern,Galle,Koggala Qc,22/02/2021,9
Southern,Galle,Kosgoda Sheraton Hotel,15/05/2021,23
Southern,Galle,Boossa Navy camp QC,30/05/2021,21
Southern,Galle,"SAFFRON HOTEL, GALLE",10/12/2020,1
Southern,Galle,TEMPLE TREE GALLE HOTEL,26/04/2021,4
Southern,Galle,Habaraduwa Qc,29/12/2020,19
Southern,Galle,"Koggala Beach Hotel
QC",11/5/2021,55
Southern,Galle,NILWALA QC,30/05/2021,65
Southern,Galle,AMARI GALLE QC,11/5/2021,13
Southern,Galle,POLICE QC NILA PIYASA HABARADUWA,27/12/2020,1
Southern,Galle,TAJ BENTOTA QC,23/05/2021,25
Southern,Galle,"EKHO SURF HOTEL,
BENTOTA",21/05/2021,9
Southern,Galle,"KOGGALA LONG BEACH
QC",27/01/2021,2
Southern,Galle,ICC BENTOTA,12/3/2021,2
Southern,Galle,QC WALAHANDUWA,26/03/2021,12
Southern,Galle,"HOTEL CORAL SANDS -
HIKKADUWA",5/3/2021,1
Southern,Galle,COCO BAY UNAWATUNA,1/4/2021,1
Southern,Galle,HOTEL FLOWER GARDEN UNAWATUNA(QC),19/03/2021,3
Southern,Galle,QC CEYSAND HOTEL,29/04/2021,2
Southern,Galle,HERIRANCE AHUNGALLA,23/04/2021,15
Southern,Galle,"LAVANGA RESORT
HIKKADUWA",4/4/2021,2
Southern,Galle,SUPER CORAL,31/03/2021,1
Southern,Galle,QC AKMEEMANA,3/5/2021,5
Southern,Galle,"INSIDE HOTEL -
AHANGAMA",1/4/2021,1
Southern,Galle,CULTURE BENTOTA,22/04/2021,2
Southern,Galle,"Hikka Tranz by
Cinnamon",22/04/2021,1
Southern,Galle,CLUB HOTEL BENTOTA,4/5/2021,1
Southern,Galle,MOSOVOLD VILLA AHANGAMA,10/5/2021,2
Southern,Galle,WEWALA BEACH HOTEL,31/05/2021,3
Southern,Hambanthota,Ambalantota,31/05/2021,473
Southern,Hambanthota,Angunakolapalassa,31/05/2021,233
Southern,Hambanthota,Beliatta,31/05/2021,200
Southern,Hambanthota,Hambanthota,31/05/2021,239
Southern,Hambanthota,Katuwana,30/05/2021,79
Southern,Hambanthota,Lunugamvehera,31/05/2021,80
Southern,Hambanthota,Okewela,28/05/2021,20
Southern,Hambanthota,Sooriyawewa,31/05/2021,80
Southern,Hambanthota,Tangalle,31/05/2021,329
Southern,Hambanthota,Thissamaharamaya,30/05/2021,287
Southern,Hambanthota,Walasmulla,31/05/2021,148
Southern,Hambanthota,Weeraketiya,31/05/2021,233
Southern,Hambanthota,RANMINITHANNA QC,23/12/2020,1
Southern,Hambanthota,SLNS KAVANTHISSA,24/05/2021,18
Southern,Hambanthota,KITHARA RESOURT QC,27/01/2021,4
Southern,Hambanthota,ERAMINIYAYA TREATMENT CENTER,14/02/2021,1
Southern,Hambanthota,SLAF WEERAWILA,20/05/2021,3
Southern,Hambanthota,"LAGOON PARADISE
TANGALLE",12/4/2021,6
Southern,Hambanthota,CHARYA RESORT- TISSA,11/5/2021,27
Southern,Hambanthota,EVA LANKA - TANGALLE,24/03/2021,2
Southern,Hambanthota,LAYA SAFARI,26/03/2021,1
Southern,Hambanthota,OAKRAY RESOURT THISSA,7/4/2021,7
Southern,Hambanthota,ECHO SAFARI TISSA,10/4/2021,4
Southern,Matara,Akuressa,31/05/2021,244
Southern,Matara,Athuraliya,31/05/2021,177
Southern,Matara,Devinuwara,30/05/2021,265
Southern,Matara,Dickwella,31/05/2021,375
Southern,Matara,Hakmana,31/05/2021,131
Southern,Matara,Kamburupitiya,31/05/2021,194
Southern,Matara,KirindaPuhulwella,31/05/2021,66
Southern,Matara,Kotapola,31/05/2021,167
Southern,Matara,Malimbada,31/05/2021,228
Southern,Matara,Matara MC,31/05/2021,664
Southern,Matara,Matara PS,31/05/2021,377
Southern,Matara,Morawaka,30/05/2021,204
Southern,Matara,Mulatiyana,31/05/2021,255
Southern,Matara,Pasgoda,28/05/2021,65
Southern,Matara,Thihagoda,30/05/2021,158
Southern,Matara,Weligama,31/05/2021,704
Southern,Matara,Welipitiya,30/05/2021,193
Southern,Matara,NDGH KAMBURGAMUWA,9/1/2021,8
Southern,Matara,"MANDARA RESORT, MIRISSA",17/04/2021,12
Southern,Matara,PARADISE HOTEL MIRISSA,14/04/2021,10
Southern,Matara,DICKWELLA VILLAGE,13/04/2021,6
Southern,Matara,PARADISE BEACH CLUB,12/4/2021,2
Southern,Matara,DICKWELA RESORT,19/05/2021,3
